state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
5.4,"2016-12-26 00:00:30.756024"
1.9,"2016-12-26 01:00:30.746163"
5.4,"2016-12-26 01:30:30.748655"
4.3,"2016-12-26 02:00:30.768457"
2.4,"2016-12-26 02:30:30.724541"
2.7,"2016-12-26 03:00:30.745279"
5.7,"2016-12-26 03:30:30.760497"
unknown,"2016-12-26 06:48:16.046371"
0.8,"2016-12-26 07:00:31.007005"
3.3,"2016-12-26 07:30:30.765676"
2.2,"2016-12-26 08:00:30.749617"
2.7,"2016-12-26 08:30:30.762298"
2.4,"2016-12-26 09:00:31.034250"
2.2,"2016-12-26 09:30:30.774382"
3.5,"2016-12-26 10:30:30.677527"
3.0,"2016-12-26 11:00:30.736675"
6.2,"2016-12-26 11:30:30.761028"
6.0,"2016-12-26 12:30:30.765075"
5.7,"2016-12-26 13:00:30.746525"
6.2,"2016-12-26 13:30:31.186234"
5.7,"2016-12-26 14:30:30.783899"
6.0,"2016-12-26 15:00:30.747931"
6.5,"2016-12-26 15:30:30.694820"
3.3,"2016-12-26 16:00:30.735786"
6.0,"2016-12-26 16:30:30.765785"
3.5,"2016-12-26 17:30:30.719891"
6.0,"2016-12-26 18:00:30.753362"
5.7,"2016-12-26 18:30:30.773862"
6.0,"2016-12-26 19:00:30.719417"
4.3,"2016-12-26 19:30:30.781504"
5.4,"2016-12-26 20:00:30.853139"
2.7,"2016-12-26 20:30:30.707264"
3.5,"2016-12-26 21:00:30.765360"
4.3,"2016-12-26 21:30:30.768967"
4.1,"2016-12-26 22:00:30.789488"
4.6,"2016-12-26 22:30:30.745083"
4.9,"2016-12-26 23:00:30.772470"
4.3,"2016-12-26 23:30:30.761986"
5.4,"2016-12-27 00:00:30.766530"
4.9,"2016-12-27 00:30:30.725753"
1.6,"2016-12-27 01:01:00.645309"
4.3,"2016-12-27 01:30:30.764544"
6.2,"2016-12-27 02:00:30.770473"
4.3,"2016-12-27 02:30:30.758450"
6.0,"2016-12-27 03:00:30.785330"
4.1,"2016-12-27 03:30:30.761836"
6.0,"2016-12-27 04:00:30.716459"
4.9,"2016-12-27 04:30:30.761507"
5.7,"2016-12-27 05:00:30.747303"
4.1,"2016-12-27 05:30:30.748023"
4.3,"2016-12-27 06:00:30.759150"
2.4,"2016-12-27 06:30:30.698490"
5.4,"2016-12-27 07:00:30.756229"
6.5,"2016-12-27 07:30:30.742615"
6.0,"2016-12-27 08:00:30.740352"
6.5,"2016-12-27 08:30:30.722740"
5.4,"2016-12-27 09:00:30.765908"
6.2,"2016-12-27 09:30:30.735975"
5.7,"2016-12-27 11:00:30.890190"
6.0,"2016-12-27 11:30:30.756170"
5.7,"2016-12-27 12:00:30.749377"
0,"2016-12-27 12:30:30.746413"
4.6,"2016-12-27 13:00:30.773210"
6.5,"2016-12-27 13:30:30.726156"
2.7,"2016-12-27 14:00:30.790612"
6.0,"2016-12-27 14:30:30.748134"
6.2,"2016-12-27 15:30:30.772717"
2.7,"2016-12-27 16:00:30.761246"
6.2,"2016-12-27 16:30:30.758292"
0,"2016-12-27 17:30:30.745248"
5.7,"2016-12-27 18:00:30.769186"
1.9,"2016-12-27 18:31:00.656407"
2.4,"2016-12-27 19:00:31.422646"
1.4,"2016-12-27 19:30:30.668295"
0,"2016-12-27 20:00:30.718363"
2.2,"2016-12-27 20:30:31.874044"
1.6,"2016-12-27 21:00:30.734694"
5.4,"2016-12-27 21:30:31.161288"
3.8,"2016-12-27 22:00:30.748568"
4.3,"2016-12-27 22:30:30.765473"
4.1,"2016-12-27 23:30:31.824496"
3.8,"2016-12-28 00:00:30.746594"
4.6,"2016-12-28 00:30:30.856653"
0.3,"2016-12-28 01:00:30.768787"
4.1,"2016-12-28 01:30:30.767803"
4.3,"2016-12-28 02:00:30.767786"
6.0,"2016-12-28 02:30:30.762245"
5.2,"2016-12-28 03:00:30.749660"
6.0,"2016-12-28 03:30:30.774816"
5.7,"2016-12-28 04:00:30.760275"
4.3,"2016-12-28 04:30:30.774213"
3.5,"2016-12-28 05:00:30.740230"
5.7,"2016-12-28 05:30:30.750491"
6.2,"2016-12-28 06:30:30.721239"
6.0,"2016-12-28 07:00:30.736172"
6.2,"2016-12-28 07:30:31.149091"
6.5,"2016-12-28 08:30:30.709659"
5.2,"2016-12-28 09:00:30.669164"
3.0,"2016-12-28 09:31:00.643148"
2.2,"2016-12-28 10:00:30.771398"
3.0,"2016-12-28 10:30:30.773324"
4.9,"2016-12-28 11:00:30.753093"
2.4,"2016-12-28 11:30:31.143554"
1.9,"2016-12-28 12:00:30.719852"
1.4,"2016-12-28 12:30:30.722846"
2.7,"2016-12-28 13:00:30.748732"
3.0,"2016-12-28 13:30:30.772017"
2.7,"2016-12-28 14:00:30.747605"
6.2,"2016-12-28 14:30:30.752631"
3.8,"2016-12-28 15:00:30.738014"
6.2,"2016-12-28 15:30:30.767353"
4.6,"2016-12-28 16:30:30.754080"
6.0,"2016-12-28 17:00:30.756732"
4.3,"2016-12-28 17:30:30.744973"
5.7,"2016-12-28 18:00:30.763325"
unknown,"2016-12-29 18:40:38.073549"
0.5,"2016-12-29 19:00:30.743345"
0.8,"2016-12-29 19:30:30.745786"
0,"2016-12-29 20:00:30.736002"
0.0,"2016-12-29 20:31:00.634881"
0,"2016-12-29 21:31:00.631834"
0.3,"2016-12-29 22:00:30.713967"
0,"2016-12-29 22:30:30.727416"
3.3,"2016-12-29 23:00:30.735303"
3.0,"2016-12-29 23:31:00.628877"
